id,SKU,Nombre del producto,Modelo,Categoría,Marca,Precio de venta,Costo,Tipo de producto,Unidad de medida,Código de barras,Tipo de producto - Afecta inventario,Imagen del producto
1432,4724,CAMARA TRASERA IPHONE 5S 821-1592-A,,CAMARAS,,120,50,Inventariable,PZ,100084,true,
1434,4726,CHAROLA SIM SAMSUNG A80 NEGRO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100160,true,
1435,4727,CHAROLA SIM XIAOMI MI 8 GRIS,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100167,true,
1436,4728,CHAROLA SIM XIAOMI MI 8 AZUL,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100166,true,
1437,4729,CHAROLA SIM XIAOMI MI 8 NEGRO,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100168,true,
1438,4730,CHAROLA SIM XIAOMI REDMI 6A ROSA,,CHAROLA SIM,,50,12.5,Inventariable,PZ,100181,true,
1440,4732,CHAROLA SIM XIAOMI REDMI 6A DORADO,,CHAROLA SIM,,50,20,Inventariable,PZ,100179,true,
1441,4733,CHAROLA SIM XIAOMI REDMI 6A NEGRO,,CHAROLA SIM,,50,5,Inventariable,PZ,100180,true,
1443,4736,FLEX HUELLA XIAOMI REDMI NOTE 7 AZUL,,FLEXOS,,50,11,Inventariable,PZ,100261,true,
1444,4737,FLEX HUELLA XIAOMI REDMI NOTE 7 ROSA,,FLEXOS,,50,11,Inventariable,PZ,100263,true,
1445,4738,FLEX HUELLA XIAOMI REDMI NOTE 7 NEGRO,,FLEXOS,,80,75,Inventariable,PZ,100262,true,
1447,4740,FLEX HUELLA XIAOMI MI A2 LITE REDMI 6 PRO DORADO,,FLEXOS,,130,88,Inventariable,PZ,100252,true,
1448,4741,FLEX HUELLA XIAOMI MI A2 LITE REDMI 6 PRO NEGRO,,FLEXOS,,160,40,Inventariable,PZ,100254,true,
1454,4748,TAPA TRASERA XIAOMI REDMI 6A GRIS,,TAPAS Y MARCOS,,30,10.5,Inventariable,PZ,100362,true,
1456,4750,TAPA TRASERA SAMSUNG S10E NEGRO,,TAPAS Y MARCOS,,90,30,Inventariable,PZ,100353,true,
1457,4751,TAPA TRASERA SAMSUNG S10E BLANCO,,TAPAS Y MARCOS,,90,30,Inventariable,PZ,100352,true,
1462,4756,BOTON FISICO MOTO G6 PLUS,,BOTONES,,30,7,Inventariable,PZ,100068,true,
1463,4757,FLEX HOME SAMSUNG J6 PLUS SM-J610 NEGRO,,FLEXOS,,70,9,Inventariable,PZ,100250,true,
1464,4758,FLEX HOME SAMSUNG J6 PLUS SM-J610 ROJO,,FLEXOS,,70,17.5,Inventariable,PZ,100251,true,
1465,4759,CC SAMSUNG A20 SM-A205 A205F,,CENTRO CARGA,,30,18,Inventariable,PZ,100109,true,
1468,4762,MICA DE HIDROGEL SUNSHINE SS-057S PRIVACIDAD,,INSUMOS,,90,27,Inventariable,PZ,100057,true,
